id,name,bic,country/id,zip,city,street,email,phone
bank_ng_126,HASAL MFB,090121,base.ng,,,,,
bank_ng_127,HEDONMARK,100017,base.ng,,,,,
bank_ng_128,HERITAGE BANK,000020,base.ng,,,,,
bank_ng_129,HOPEPSB,120002,base.ng,,,,,
bank_ng_130,IRL MFB,090149,base.ng,,,,,
bank_ng_131,IBILE MFB,090118,base.ng,,,,,
bank_ng_132,IKIRE MFB,090275,base.ng,,,,,
bank_ng_133,IKIRE MFB,090279,base.ng,,,,,
bank_ng_134,IKOYI OSUN MFB,50439,base.ng,,,,,
bank_ng_135,ILARO POLY MICROFINANCE BANK,50442,base.ng,,,,,
bank_ng_136,IMO STATE MFB,090258,base.ng,,,,,
bank_ng_137,IMPERIAL HOMES MORTGAGE BANK,100024,base.ng,,,,,
bank_ng_138,INFINITY MFB,090157,base.ng,,,,,
bank_ng_139,INFINITY TRUST MORTGAGE BANK,070016,base.ng,,,,,
bank_ng_140,INNOVECTIVES KESH,100029,base.ng,,,,,
bank_ng_141,INTERSWITCH,110003,base.ng,,,,,
bank_ng_142,ITEX INTEGRATED SERVICES,090211,base.ng,,,,,
bank_ng_143,JAIZ BANK,000006,base.ng,,,,,
bank_ng_144,JUBILEE LIFE,090003,base.ng,,,,,
bank_ng_145,KCMB MFB,090191,base.ng,,,,,
bank_ng_146,KADPOLY MFB,090320,base.ng,,,,,
bank_ng_147,KEGOW,100015,base.ng,,,,,
bank_ng_148,KEYSTONE BANK,000002,base.ng,,,,,
bank_ng_149,KONTAGORA MFB,090299,base.ng,,,,,
bank_ng_150,KREDI BANK,090380,base.ng,,,,,
bank_ng_151,KUDA MFB,090267,base.ng,,,,,
bank_ng_152,LAPO MFB,090177,base.ng,,,,,
bank_ng_153,LA FAYETTE MFB,090155,base.ng,,,,,
bank_ng_154,LAGOS BUILDING INVESTMENT COMPANY,070012,base.ng,,,,,
bank_ng_155,LAVENDER MFB,090271,base.ng,,,,,
bank_ng_156,LINKS MFB,50549,base.ng,,,,,
bank_ng_157,LIVING TRUST MORTGAGE BANK,031,base.ng,,,,,
bank_ng_158,LOTUS BANK,303,base.ng,,,,,
bank_ng_159,LOVONUS MFB,090265,base.ng,,,,,
bank_ng_160,M-KUDI,100011,base.ng,,,,,
bank_ng_161,MTN MOMO PSB,120003,base.ng,,,,,
bank_ng_162,MAINSTREET MFB,090171,base.ng,,,,,
bank_ng_163,MALACHY MFB,090174,base.ng,,,,,
bank_ng_164,MAYFAIR MFB,50563,base.ng,,,,,
bank_ng_165,MEGAPRAISE MFB,090280,base.ng,,,,,
bank_ng_166,MICROVIS MFB,090113,base.ng,,,,,
bank_ng_167,MIDLAND MFB,090192,base.ng,,,,,
bank_ng_168,MIMONEY INTELLIFIN SOLUTIONS,100027,base.ng,,,,,
bank_ng_169,MINT MFB,50304,base.ng,,,,,
bank_ng_170,MINT-FINEX MFB,090281,base.ng,,,,,
bank_ng_171,MONEY TRUST MFB,090129,base.ng,,,,,
bank_ng_172,MONEYBOX,100020,base.ng,,,,,
bank_ng_173,MUTUAL BENEFITS MIFB,090190,base.ng,,,,,
bank_ng_174,MUTUAL TRUST MFB,090151,base.ng,,,,,
bank_ng_175,NARGATA MFB,090152,base.ng,,,,,
bank_ng_176,NDIORAH MFB,090128,base.ng,,,,,
bank_ng_177,NEW DAWN MFB,090205,base.ng,,,,,
